t,vx,vy,s,ds
200,1.7821683618681456,-0.639563343397388,-9.020547100430122e-05,0.9999097509253773
201,1.8231137717114918,-0.5817348698330419,-0.9999999853428209,-0.9999097798718165
202,1.8048826357227685,-0.6485001688116601,-9.799762939106215e-05,0.9999019877134298
203,1.8463971738859892,-0.5896171500292425,-0.999999992106899,-0.9999019944775079
204,1.8279332030889797,-0.6562248050644992,-0.00011630393185057534,0.9998836881750485
205,1.8699055004466532,-0.5964302796791175,-0.9999999946863863,-0.9998836907545358
206,1.8512064460826891,-0.6629016727561735,-0.00015236363256761976,0.9998476310538187
207,1.8935409193760102,-0.602319278153093,-0.9999999958740534,-0.9998476322414858
208,1.874605510683921,-0.6686728915530381,-0.0002101866425740143,0.9997898092314794
209,1.917220207739814,-0.6074094956693008,-0.9999999964080281,-0.9997898097654541
210,1.8980480061024194,-0.6736613048495443,-0.19241007154265793,0.8075899248653702
211,1.938775208313245,-0.6162932016275324,-0.9999999969501838,-0.8075899254075258
212,1.919387456608532,-0.6823673368201043,-0.000422090769403599,0.9995779061807802
213,1.9627745015561355,-0.6194880127666836,-0.9999999971041178,-0.9995779063347142
214,1.9431467569015421,-0.6854982517737698,-0.00017533642821317125,0.9998246606759046
215,1.9865751817974486,-0.6222494618168591,-0.9999999967717292,-0.999824660343516
216,1.9667094303834627,-0.6882044717565352,-0.40011081192809156,0.5998891848436376
217,2.0007604215810484,-0.6443697305507867,-0.9999999974749656,-0.599889185546874
218,1.9807528176911762,-0.7098823352843314,-0.00015775943840991635,0.9998422380365557
219,2.025977804102637,-0.6437562228180185,-0.9999999977744565,-0.9998422383360466
220,2.0057180263486467,-0.709281097784227,-0.00016262744291122537,0.9998373703315453
221,2.0506397903206035,-0.6432259315354576,-0.9999999975863183,-0.9998373701434071
222,2.0301333927284695,-0.7087614122787546,-8.690496881265789e-05,0.9999130926175056
223,2.0747647001852076,-0.6427675665688996,-0.9999999963770301,-0.9999130914082174
224,2.0540170536499835,-0.7083122142982214,-5.4212282797467656e-05,0.9999457840942326
225,2.098369501232458,-0.6423713733763118,-0.9832010175169021,-0.9831468052341047
226,2.0795241843288403,-0.7036130033485118,-0.9999999923215882,-0.016798974804686062
227,2.0587289435577643,-0.7679407411992473,-4.577173216986297e-05,0.9999542205894183
228,2.108347174027164,-0.6949637340103644,-0.9999999972956007,-0.9999542255634308
229,2.087263702660366,-0.7594644586013407,-5.851371393838123e-05,0.9999414835816623
230,2.135841348675668,-0.6874876529290931,-0.9999999978374255,-0.9999414841234872
231,2.1144829354846784,-0.7521378992908816,-6.135062692775438e-05,0.9999386472104977
232,2.1621355927178345,-0.6810256276585347,-0.9999999974624885,-0.9999386468355607
233,2.14051423713478,-0.7458051144284549,-4.916233921892539e-05,0.9999508351232695
234,2.187342330307023,-0.6754401112351698,-0.8895584349322292,-0.8895092725930103
235,2.1792826708695454,-0.7128669946231831,-0.9999999914425163,-0.11044155651028709
236,2.157489845369927,-0.7770096523945098,-3.645533169709124e-05,0.9999635361108192
237,2.206928506857317,-0.702962513586071,-3.394070329031188e-05,2.5146284067793545e-06
238,2.249275181681225,-0.6376529371254751,-2.6098060393016888e-05,7.842642897294995e-06
239,2.2853793065260315,-0.5800498906245923,-1.9717412066660637e-05,6.380648326356251e-06
240,2.3159899586967225,-0.5292440035743089,-1.5417385582159224e-05,4.300026484501413e-06
241,2.3417676998178716,-0.4844332111778971,-1.2492191832755722e-05,2.9251937494035024e-06
242,2.3632950219294693,-0.4449100922748629,-1.0415078653146214e-05,2.0771131796095076e-06
243,2.3810855609279566,-0.4100507013970975,-8.876158226252942e-06,1.5389204268932716e-06
244,2.3955922228105653,-0.3793047186397165,-7.694032682178166e-06,1.1821255440747765e-06
245,2.407214351011473,-0.3521867618456667,-6.758572154251956e-06,9.354605279262096e-07
246,2.41630404798054,-0.32826872395194956,-6.000024415352175e-06,7.585477388997817e-07
247,2.423171750803932,-0.3071730145287419,-5.372425204296853e-06,6.275992110553218e-07
248,2.42809114888972,-0.2885665988167921,-4.844403329278205e-06,5.28021875018648e-07
249,2.4313035213548817,-0.27215574015835137,-4.393880976022152e-06,4.5052235325605324e-07
250,2.4330215625890452,-0.2576813628212296,0.19580591300056643,0.19581030688154247
251,2.415702382590641,-0.18823627524944958,0.48716687935359365,0.2913609663530272
252,2.364720509559653,-0.05377435396829578,0.7771709637903721,0.29000408443677844
253,2.279456136533962,0.12698836935258606,0.9999999990702337,0.22282903527986164
254,2.1754217585380866,0.3319835795758424,0.9999999985516598,-5.185739615498619e-10
